ID	sample
PRAMEF18:PDHA2	TCGA-CD-A48C-01A
PRAMEF18:ANK2	TCGA-CD-A48C-01A
PRAMEF18:PCDH18	TCGA-CD-A48C-01A
PRAMEF18:TRIML2	TCGA-CD-A48C-01A
PRAMEF18:6-Mar	TCGA-CD-A48C-01A
PRAMEF18:DNAH5	TCGA-CD-A48C-01A
PRAMEF18:PARP8	TCGA-CD-A48C-01A
PRAMEF18:MAP1B	TCGA-CD-A48C-01A
PRAMEF18:ADAMTS19	TCGA-CD-A48C-01A
PRAMEF18:RREB1	TCGA-CD-A48C-01A
PRAMEF18:COL11A2	TCGA-CD-A48C-01A
PRAMEF18:DAAM2	TCGA-CD-A48C-01A
PRAMEF18:KHDRBS2	TCGA-CD-A48C-01A
PRAMEF18:COL12A1	TCGA-CD-A48C-01A
PRAMEF18:ARHGAP18	TCGA-CD-A48C-01A
PRAMEF18:AKAP12	TCGA-CD-A48C-01A
PRAMEF18:BRAT1	TCGA-CD-A48C-01A
PRAMEF18:HECW1	TCGA-CD-A48C-01A
PRAMEF18:GTF2IRD2	TCGA-CD-A48C-01A
PRAMEF18:ABCB4	TCGA-CD-A48C-01A
PRAMEF18:TRRAP	TCGA-CD-A48C-01A
PRAMEF18:RASA4	TCGA-CD-A48C-01A
PRAMEF18:NUP205	TCGA-CD-A48C-01A
PRAMEF18:CSMD1	TCGA-CD-A48C-01A
PRAMEF18:PENK	TCGA-CD-A48C-01A
PRAMEF18:ZFHX4	TCGA-CD-A48C-01A
PRAMEF18:CNBD1	TCGA-CD-A48C-01A
PRAMEF18:NBN	TCGA-CD-A48C-01A
PRAMEF18:CSMD3	TCGA-CD-A48C-01A
PRAMEF18:MED30	TCGA-CD-A48C-01A
PRAMEF18:MYC	TCGA-CD-A48C-01A
PRAMEF18:BNC2	TCGA-CD-A48C-01A
PRAMEF18:ASTN2	TCGA-CD-A48C-01A
PRAMEF18:SETX	TCGA-CD-A48C-01A
PRAMEF18:CUBN	TCGA-CD-A48C-01A
PRAMEF18:RET	TCGA-CD-A48C-01A
PRAMEF18:PCDH15	TCGA-CD-A48C-01A
PRAMEF18:HERC4	TCGA-CD-A48C-01A
PRAMEF18:POLR3A	TCGA-CD-A48C-01A
PRAMEF18:GRID1	TCGA-CD-A48C-01A
PRAMEF18:CPXM2	TCGA-CD-A48C-01A
PRAMEF18:OR52N1	TCGA-CD-A48C-01A
PRAMEF18:ZNF215	TCGA-CD-A48C-01A
PRAMEF18:OR4C11	TCGA-CD-A48C-01A
PRAMEF18:C2CD3	TCGA-CD-A48C-01A
PRAMEF18:PDGFD	TCGA-CD-A48C-01A
CELA2B:CELA2B	TCGA-CD-A48C-01A
CELA2B:PADI2	TCGA-CD-A48C-01A
CELA2B:ZBTB40	TCGA-CD-A48C-01A
CELA2B:TRIM63	TCGA-CD-A48C-01A
CELA2B:FPGT-TNNI3K	TCGA-CD-A48C-01A
CELA2B:GJA8	TCGA-CD-A48C-01A
CELA2B:NBPF11	TCGA-CD-A48C-01A
CELA2B:TMOD4	TCGA-CD-A48C-01A
CELA2B:LCE1F	TCGA-CD-A48C-01A
CELA2B:SHC1	TCGA-CD-A48C-01A
CELA2B:CD1C	TCGA-CD-A48C-01A
CELA2B:KCNT2	TCGA-CD-A48C-01A
CELA2B:ESRRG	TCGA-CD-A48C-01A
CELA2B:OR11L1	TCGA-CD-A48C-01A
CELA2B:OR2AK2	TCGA-CD-A48C-01A
CELA2B:OR2T1	TCGA-CD-A48C-01A
CELA2B:TPO	TCGA-CD-A48C-01A
CELA2B:CDKL4	TCGA-CD-A48C-01A
CELA2B:LRPPRC	TCGA-CD-A48C-01A
CELA2B:NRXN1	TCGA-CD-A48C-01A
CELA2B:ZNF2	TCGA-CD-A48C-01A
CELA2B:CNTNAP5	TCGA-CD-A48C-01A
CELA2B:GYPC	TCGA-CD-A48C-01A
CELA2B:LRP1B	TCGA-CD-A48C-01A
CELA2B:MBD5	TCGA-CD-A48C-01A
CELA2B:FAP	TCGA-CD-A48C-01A
CELA2B:SCN2A	TCGA-CD-A48C-01A
CELA2B:TTN	TCGA-CD-A48C-01A
CELA2B:ZNF804A	TCGA-CD-A48C-01A
CELA2B:DNAH7	TCGA-CD-A48C-01A
CELA2B:CAPN10	TCGA-CD-A48C-01A
CELA2B:FGD5	TCGA-CD-A48C-01A
CELA2B:KAT2B	TCGA-CD-A48C-01A
CELA2B:ZNF385D	TCGA-CD-A48C-01A
CELA2B:ARPP21	TCGA-CD-A48C-01A
CELA2B:TRAK1	TCGA-CD-A48C-01A
CELA2B:EPHA3	TCGA-CD-A48C-01A
CELA2B:EPHA6	TCGA-CD-A48C-01A
CELA2B:IMPG2	TCGA-CD-A48C-01A
CELA2B:EPHB1	TCGA-CD-A48C-01A
CELA2B:TRPC1	TCGA-CD-A48C-01A
CELA2B:U2SURP	TCGA-CD-A48C-01A
CELA2B:P2RY13	TCGA-CD-A48C-01A
CELA2B:BCHE	TCGA-CD-A48C-01A
CELA2B:MECOM	TCGA-CD-A48C-01A
CELA2B:STK32B	TCGA-CD-A48C-01A
CELA2B:SEL1L3	TCGA-CD-A48C-01A
CELA2B:LIMCH1	TCGA-CD-A48C-01A
CELA2B:UGT2B10	TCGA-CD-A48C-01A
CELA2B:SHROOM3	TCGA-CD-A48C-01A
CELA2B:PDHA2	TCGA-CD-A48C-01A
CELA2B:ANK2	TCGA-CD-A48C-01A
CELA2B:PCDH18	TCGA-CD-A48C-01A
CELA2B:TRIML2	TCGA-CD-A48C-01A
CELA2B:6-Mar	TCGA-CD-A48C-01A
CELA2B:DNAH5	TCGA-CD-A48C-01A
CELA2B:PARP8	TCGA-CD-A48C-01A
CELA2B:MAP1B	TCGA-CD-A48C-01A
CELA2B:ADAMTS19	TCGA-CD-A48C-01A
CELA2B:RREB1	TCGA-CD-A48C-01A
CELA2B:COL11A2	TCGA-CD-A48C-01A
CELA2B:DAAM2	TCGA-CD-A48C-01A
CELA2B:KHDRBS2	TCGA-CD-A48C-01A
CELA2B:COL12A1	TCGA-CD-A48C-01A
CELA2B:ARHGAP18	TCGA-CD-A48C-01A
CELA2B:AKAP12	TCGA-CD-A48C-01A
CELA2B:BRAT1	TCGA-CD-A48C-01A
CELA2B:HECW1	TCGA-CD-A48C-01A
CELA2B:GTF2IRD2	TCGA-CD-A48C-01A
CELA2B:ABCB4	TCGA-CD-A48C-01A
CELA2B:TRRAP	TCGA-CD-A48C-01A
CELA2B:RASA4	TCGA-CD-A48C-01A
CELA2B:NUP205	TCGA-CD-A48C-01A
CELA2B:CSMD1	TCGA-CD-A48C-01A
CELA2B:PENK	TCGA-CD-A48C-01A
CELA2B:ZFHX4	TCGA-CD-A48C-01A
CELA2B:CNBD1	TCGA-CD-A48C-01A
CELA2B:NBN	TCGA-CD-A48C-01A
CELA2B:CSMD3	TCGA-CD-A48C-01A
CELA2B:MED30	TCGA-CD-A48C-01A
CELA2B:MYC	TCGA-CD-A48C-01A
CELA2B:BNC2	TCGA-CD-A48C-01A
CELA2B:ASTN2	TCGA-CD-A48C-01A
CELA2B:SETX	TCGA-CD-A48C-01A
CELA2B:CUBN	TCGA-CD-A48C-01A
CELA2B:RET	TCGA-CD-A48C-01A
CELA2B:PCDH15	TCGA-CD-A48C-01A
CELA2B:HERC4	TCGA-CD-A48C-01A
CELA2B:POLR3A	TCGA-CD-A48C-01A
CELA2B:GRID1	TCGA-CD-A48C-01A
CELA2B:CPXM2	TCGA-CD-A48C-01A
CELA2B:OR52N1	TCGA-CD-A48C-01A
CELA2B:ZNF215	TCGA-CD-A48C-01A
CELA2B:OR4C11	TCGA-CD-A48C-01A
CELA2B:C2CD3	TCGA-CD-A48C-01A
CELA2B:PDGFD	TCGA-CD-A48C-01A
PADI2:PADI2	TCGA-CD-A48C-01A
PADI2:ZBTB40	TCGA-CD-A48C-01A
PADI2:TRIM63	TCGA-CD-A48C-01A
PADI2:FPGT-TNNI3K	TCGA-CD-A48C-01A
