	P3	P5	P7	P11	P13	P14	P16	P17	P19	P22	P24	P27	P30	P34	P39	P43	P52	P53	1148190	1160611	1165043	1165731	1175987	1205142	1232209	1232597	1247392	1258650	1261934	1273598	P2	P4	P9	P15	P18	P20	P21	P23	P25	P26	P33	P40	P45	P50	1161524	1185692	1243837	1313158	1337883	1338283	1398479	1406645	1432057	963764	P1	P12	P35	P37	P41	1161135	1391882	1397993	P36	P42	P51	1293013	1411462	rd_P4_T1	rd_P5_T1	rd_P7_T1	rd_P9_T1	rd_P10_T1	rd_P11_T1	rd_P1_T1	rd_P2_T1	rd_P3_T1	rd_P6_T1	rd_P8_T1	rd_P12_T1	rd_P13_T1	rd_P14_T1	F4	F8	F9	F81	F89_342952	F92_340410	F172	F177
IGFN1	0	0	0	0	0	10.0802	0	0	0	0	0	0	0	0	10.0116	0	0	0	0	0	0	10.0305	0	0	0	0	0	0	10.0672	0	0	10.194	10.0232	0	0	0	0	10.0408	10.0288	0	0	0	0	0	0	0	0	0	0	0	10.0519	0	0	10.4417	0	0	0	40.0851	0	0	0	0	0	0	0	0	0	10.0382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMD	0	0	0	0	0	0	0	0	0	10.1525	0	0	0	0	40.291	0	0	0	0	0	0	0	0	10.4167	0	0	0	0	0	0	0	0	0	0	0	0	10.3373	0	0	10.2727	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4	0	0	0	10.1304	0	0	0	0	0	0	10.1973	10.3696	0	0	0	0	0	10.4971	10.0839	0	0	0	0	40.049	0	0	0	0	0	0	0	40.1	0	0	0
DNAH11	0	0	0	0	0	40.0901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2069	0	0	0	0	0	10.0315	10.1379	0	0	40.162	40.2297	0	0	10.1569	0	0	0	0	0	0	0	0	0	0	10.2115	0	30.375	0	0	0	40.0902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFHX4	0	10.3027	0	0	0	0	0	0	0	0	10.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1682	0	0	0	0	10.0319	0	10.3	0	10.0709	10.3271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1824	0	0	10.0833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0643	0	0	0	0	10.4702	0	0	0	0	0	0	0	0	0	0	0
MUC19	0	0	0	0	0	10.0715	0	0	0	0	0	0	0	0	0	0	0	10.087	10.0927	0	0	0	10.0733	0	0	0	0	0	0	0	10.0793	0	0	0	0	10.1653	10.0241	0	0	0	0	0	10.1089	40.2791	0	0	0	0	0	0	0	0	0	0	0	0	0	10.08	0	0	0	0	0	0	0	0	10.0086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USH2A	0	0	0	0	10.1548	10.1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1111	0	20.1875	10.3333	0	10.1176	0	0	0	0	0	10.2857	0	0	0	0	0	10.1818	0	0	0	0	0	0	0	10.1165	0	0	0	0	10.093	0	0	0	0	0	0	0	10.1228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYNE1	0	0	0	0	0	0	0	0	0	0	40.2881	0	0	10.1805	0	0	0	0	0	0	0	0	0	10.0787	0	0	0	0	0	0	0	0	0	0	10.0635	0	0	0	0	0	10.3268	0	0	10.2051	0	0	0	0	0	0	0	0	0	10.32	0	0	10.0513	0	0	0	10.0882	0	0	0	0	0	0	0	0	0	0	0	10.0814	0	10.4286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LILRB3	10.1071	10.0633	0	0	0	0	0	0	10.1714	0	0	0	0	0	0	0	0	0	0	10.1111	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1224	10.0685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0909	10.093	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SACS	10.1429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0678	0	0	0	0	0	0	0	0	0	0	0	0	40.1977	0	0	0	10.1772	0	0	10.1639	0	0	0	0	10.2404	0	0	0	0	0	0	0	0	40.1081	0	0	0	0	0	0	0	0	0	0	0	0	10.0917	10.0726	10.0533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0	0	10.18	0	10.2116	10.1649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4286	0	0	0	0	0	0	0	10.0247	0	0	0	40.0859	0	0	0	0	0	0	10.1558	0	0	0	0	0	0	0	0	0	0	10.0758	0	0	0	0	0	0	0	40.0345	10.2125	0	0	110.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0	40.1	0	0	0
FAT4	0	0	0	0	0	10.0651	0	10.3013	10.2645	0	0	0	10.1615	0	10.5364	0	0	10.2078	0	10.1765	0	0	0	0	0	0	0	0	0	0	0	0	10.1445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1698	0	0	0	0	0	0	0	0	0	0	0	0	40.1077	0	0	0	0	0	0	0	0	0	0	40.1	0	0	0	0	0
PIK3CA	0	0	0	0	0	0	10.1874	0	0	0	0	0	0	0	10.69	0	0	0	0	0	0	0	0	0	10.3876	0	0	0	0	0	0	0	0	20.381	0	0	0	0	0	10.2195	10.4037	0	0	0	10.3421	0	0	0	0	0	0	10.2857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.15	0	0	0	0	10.1013	0	0	0	0	0	0	0	0	10.1	0	10.1	0	0	0	0
TECTA	0	10.277	0	0	0	0	0	10.0493	0	0	0	0	0	0	0	0	0	10.2294	0	10.272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1741	0	30.2887	0	0	0	0	0	0	0	0	10.0365	0	0	0	0	0	0	0	0	0
ARID1A	0	0	0	40.3006	0	40.0924	0	0	40.0844	0	0	0	0	0	0	0	0	0	0	0	0	40.1433	0	0	40.3398	0	0	40.2195	0	0	0	0	0	0	0	0	40.1435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.2542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.0857	40.1176	0	0	0	0	0	0	0	0	40.1	0	0	20.1	0	0	0
ACVR2A	0	0	0	0	0	0	0	0	0	0	0	0	40.3636	0	0	0	0	40.4362	0	40.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.3478	0	0	10.1757	10.4516	0	0	0	0	40.1266	0	0	10.4205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1632	0	0	0	0	0	0	0	0
FSIP2	40.0894	0	0	0	0	0	0	40.2899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2268	0	0	0	10.1472	0	0	0	40.0437	0	0	0	0	0	0	40.1765	0	0	0	0	0	40.2254	0	0	0	0	0	0	0	0	0	10.1579	0	0	40.0431	20.0302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0	0	0	0	0	0	0
ZNF91	0	0	0	0	0	10.0432	0	0	0	0	0	0	0	0	0	10.0705	0	0	0	0	0	0	10.0242	10.024	0	0	0	0	0	0	0	0	0	0	0	0	10.1434	0	0	0	0	0	0	0	0	0	10.0193	0	0	0	0	0	0	0	0	0	0	10.0169	10.0177	0	0	0	0	0	0	0	10.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0	0	0	0	0	0
